kepler_id,flare_peak_BJD,This work,,,,,Okamoto et al. (2021),,,,
,,Teff,Radius,P_rot,Duration,Energy,Teff,Radius,P_rot,Duration,Energy
9716645,56037.03,5837,0.921,1,0.10,3.42E+35,5834,0.961,1.367,0.19,2.20E+35
9716645,56113.13,5837,0.921,1,0.12,5.85E+35,5834,0.961,1.367,0.21,6.30E+35
9716645,56171.61,5837,0.921,1,0.12,5.85E+35,5834,0.961,1.367,0.21,3.70E+35
9716645,56184.11,5837,0.921,1,0.14,7.46E+35,5834,0.961,1.367,0.19,4.10E+35
9716645,56188.77,5837,0.921,1,0.06,2.69E+35,5834,0.961,1.367,0.08,8.40E+34
9716645,56216.81,5837,0.921,1,0.12,5.19E+35,5834,0.961,1.367,0.23,3.60E+35
9716645,56232.36,5837,0.921,1,0.08,3.61E+35,5834,0.961,1.367,0.17,1.80E+35
9716645,56285.18,5837,0.921,1,0.10,4.19E+35,5834,0.961,1.367,0.17,2.40E+35
9716645,56292.69,5837,0.921,1,0.06,1.86E+35,5834,0.961,1.367,0.21,1.70E+35
9910701,55716.88,5883,0.983,5,0.18,2.02E+35,5887,1.078,5.835,0.21,1.80E+35
9910701,55948.92,5883,0.983,5,0.10,1.93E+35,5887,1.078,5.835,0.15,1.40E+35
9910701,56001.84,5883,0.983,5,0.10,1.68E+35,5887,1.078,5.835,0.12,1.00E+35
9910701,56051.60,5883,0.983,5,0.06,3.50E+34,5887,1.078,5.835,0.1,4.50E+34
10011070,55105.16,5667,0.902,23.97,0.08,4.35E+34,5669,0.77,23.97,0.1,1.00E+34
10011070,55248.64,5667,0.902,23.97,0.08,3.33E+34,5669,0.77,23.97,0.1,1.60E+34
10275962,55046.23,5782,0.905,26.117,0.06,3.71E+34,5782,0.789,26.117,0.06,1.90E+34
10275962,55432.87,5782,0.905,26.117,0.06,2.04E+34,5782,0.789,26.117,0.06,1.00E+34
10387363,56099.52,5492,0.954,27,0.10,6.69E+34,5495,0.872,26.513,0.23,3.60E+34
10529366,55795.75,5696,1.126,10,0.06,1.88E+34,5697,1.243,10.464,0.06,7.30E+33
10914339,56287.08,5790,0.998,8,0.06,6.57E+34,5793,1.287,8.786,0.08,2.70E+34
11018441,55151.60,5271,1.057,8,0.08,4.21E+34,5261,0.834,8.384,0.08,1.30E+34
11018441,55405.12,5271,1.057,8,0.08,8.93E+34,5261,0.834,8.384,0.1,1.90E+34
11018441,55823.52,5271,1.057,8,0.06,3.11E+34,5261,0.834,8.384,0.06,9.60E+33
11018441,55872.95,5271,1.057,8,0.06,2.99E+34,5261,0.834,8.384,0.06,6.80E+33
11018441,56119.05,5271,1.057,8,0.08,5.96E+34,5261,0.834,8.384,0.08,2.30E+34
11403440,55379.05,5855,0.917,0.5,0.10,7.32E+34,5852,1.36,0.939,0.1,9.50E+34
11403440,55476.48,5855,0.917,0.5,0.08,5.63E+34,5852,1.36,0.939,0.08,1.00E+35
11403440,55747.69,5855,0.917,0.5,0.08,8.34E+34,5852,1.36,0.939,0.08,1.40E+35
11403440,55888.17,5855,0.917,0.5,0.10,1.19E+35,5852,1.36,0.939,0.1,1.80E+35
11403440,55956.85,5855,0.917,0.5,0.08,8.55E+34,5852,1.36,0.939,0.1,8.10E+34
11403440,56193.15,5855,0.917,0.5,0.14,2.08E+35,5852,1.36,0.939,0.08,1.00E+35
11403440,56368.48,5855,0.917,0.5,0.10,1.08E+35,5852,1.36,0.939,0.1,1.30E+35
11413690,55152.56,5878,0.945,11,0.06,9.02E+34,5886,0.818,24.238,0.06,3.00E+34
11441482,55552.18,5776,0.942,9,0.06,4.24E+34,5783,1.062,9.247,0.08,3.60E+34
11462734,54969.33,5269,0.907,17,0.06,2.22E+34,5267,0.805,18.041,0.12,1.10E+34
11462734,55829.73,5269,0.907,17,0.10,5.57E+34,5267,0.805,18.041,0.15,2.00E+34
11462734,56061.49,5269,0.907,17,0.06,1.34E+34,5267,0.805,18.041,0.1,1.20E+34
11462734,56353.32,5269,0.907,17,0.06,1.47E+34,5267,0.805,18.041,0.31,1.10E+34
11805605,55850.98,5313,1.022,15,0.06,7.96E+33,5307,0.871,15.663,0.08,4.90E+33
11805605,55911.00,5313,1.022,15,0.06,8.50E+33,5307,0.871,15.663,0.08,2.70E+33
11805605,56061.12,5313,1.022,15,0.10,3.95E+34,5307,0.871,15.663,0.12,1.10E+34
11972298,55138.83,5745,0.962,15,0.08,2.29E+34,5749,0.998,15.562,0.08,1.70E+34
11972298,55634.65,5745,0.962,15,0.06,3.86E+34,5749,0.998,15.562,0.12,4.20E+34
12009642,55600.51,5796,1.003,2,0.06,3.57E+34,5795,0.943,2.235,0.08,7.80E+33
12009642,55619.10,5796,1.003,2,0.10,6.08E+34,5795,0.943,2.235,0.08,1.90E+34
12009642,55908.42,5796,1.003,2,0.06,2.35E+34,5795,0.943,2.235,0.08,1.30E+34
12009642,56350.95,5796,1.003,2,0.06,2.55E+34,5795,0.943,2.235,0.1,1.30E+34
12266582,54981.06,5638,0.928,6,0.08,1.22E+34,5641,0.868,6.843,0.1,9.20E+33
12266582,55115.27,5638,0.928,6,0.12,7.32E+34,5641,0.868,6.843,0.1,2.60E+34
12266582,55736.27,5638,0.928,6,0.06,1.21E+34,5641,0.868,6.843,0.06,4.60E+33
12266582,56408.02,5638,0.928,6,0.06,2.48E+34,5641,0.868,6.843,0.15,1.50E+34
