kepler_id,quarter,flare_start_time,flare_end_time,flare_peak_time,energy,excluded,Teff,Radius,logg,Prot,flare_amp,flare_duration,time_start_BJD,time_end_BJD,flare_peak_BJD,Prot source
11554974,9,862.1763947,862.2376975,862.196829,3.13E+34,FALSE,5790,0.917,4.489,0.5,0.005932485,0.061302812,55695.17639,55695.2377,55695.19683,This work
11560037,13,1256.58626,1256.647562,1256.606694,4.49E+34,FALSE,5888,1.02,4.387,10,0.00732719,0.061302795,56089.58626,56089.64756,56089.60669,This work
11560037,8,740.2269942,740.3087269,740.2474273,5.08E+34,FALSE,5888,1.02,4.387,10,0.005448624,0.081732722,55573.22699,55573.30873,55573.24743,This work
11563912,14,1278.532519,1278.675558,1278.593821,1.42E+35,FALSE,5780,1,4.438,NA,0.009784621,0.143039238,56111.53252,56111.67556,56111.59382,NA
11564930,7,632.3614393,632.422739,632.3818725,3.87E+34,FALSE,5788,1.047,4.402,11,0.007756657,0.061299657,55465.36144,55465.42274,55465.38187,This work
11564957,12,1145.118324,1145.179625,1145.138758,2.49E+34,FALSE,5780,1.001,4.373,4,0.003995991,0.061300467,55978.11832,55978.17962,55978.13876,This work
11564957,5,443.6741299,443.735432,443.694564,2.96E+34,FALSE,5780,1.001,4.373,4,0.0048,0.061302086,55276.67413,55276.73543,55276.69456,This work
11564957,15,1377.125229,1377.186529,1377.145662,3.55E+34,FALSE,5780,1.001,4.373,4,0.00569274,0.061299652,56210.12523,56210.18653,56210.14566,This work
11564957,9,857.1287754,857.1900783,857.1492096,4.11E+34,FALSE,5780,1.001,4.373,4,0.003053419,0.061302882,55690.12878,55690.19008,55690.14921,This work
11565170,15,1420.279731,1420.341029,1420.300164,2.33E+35,FALSE,5780,1,4.438,1,0.048001249,0.06129861,56253.27973,56253.34103,56253.30016,This work
11565170,17,1575.328044,1575.389347,1575.348478,3.32E+35,FALSE,5780,1,4.438,1,0.049357193,0.061302688,56408.32804,56408.38935,56408.34848,This work
11565170,17,1590.510659,1590.571962,1590.531094,3.46E+35,FALSE,5780,1,4.438,1,0.069159206,0.061302766,56423.51066,56423.57196,56423.53109,This work
11565170,17,1579.128802,1579.190104,1579.149236,3.47E+35,FALSE,5780,1,4.438,1,0.046203284,0.061302569,56412.1288,56412.1901,56412.14924,This work
11565170,17,1571.56816,1571.629462,1571.588594,3.59E+35,FALSE,5780,1,4.438,1,0.039675533,0.061302401,56404.56816,56404.62946,56404.58859,This work
11565170,15,1403.054799,1403.136531,1403.095665,4.10E+35,FALSE,5780,1,4.438,1,0.08938352,0.081731729,56236.0548,56236.13653,56236.09566,This work
11565170,17,1574.040692,1574.122428,1574.061126,4.58E+35,FALSE,5780,1,4.438,1,0.074336169,0.081736712,56407.04069,56407.12243,56407.06113,This work
11565170,15,1438.383243,1438.485407,1438.424108,4.79E+35,FALSE,5780,1,4.438,1,0.06579423,0.102164337,56271.38324,56271.48541,56271.42411,This work
11565170,14,1352.523548,1352.605282,1352.543981,5.92E+35,FALSE,5780,1,4.438,1,0.061748715,0.081733836,56185.52355,56185.60528,56185.54398,This work
11565170,15,1437.565929,1437.627227,1437.586361,6.46E+35,FALSE,5780,1,4.438,1,0.044104545,0.061298541,56270.56593,56270.62723,56270.58636,This work
11565170,15,1443.021501,1443.164531,1443.062366,9.43E+35,FALSE,5780,1,4.438,1,0.490762097,0.143029878,56276.0215,56276.16453,56276.06237,This work
11565170,14,1356.181134,1356.262867,1356.222001,1.15E+36,FALSE,5780,1,4.438,1,0.27836923,0.081733764,56189.18113,56189.26287,56189.222,This work
11565170,14,1309.142769,1309.265373,1309.183637,1.55E+36,FALSE,5780,1,4.438,1,0.437696654,0.122603699,56142.14277,56142.26537,56142.18364,This work
11565170,15,1407.631779,1407.693078,1407.652212,1.68E+36,FALSE,5780,1,4.438,1,0.040276676,0.061298885,56240.63178,56240.69308,56240.65221,This work
11565170,15,1429.065862,1429.127161,1429.086295,1.71E+36,FALSE,5780,1,4.438,1,0.081630595,0.061298549,56262.06586,56262.12716,56262.08629,This work
11565170,14,1297.801894,1297.863196,1297.822328,2.05E+36,FALSE,5780,1,4.438,1,0.039843441,0.061302171,56130.80189,56130.8632,56130.82233,This work
11565170,15,1386.401884,1386.463183,1386.422317,2.16E+36,FALSE,5780,1,4.438,1,0.041304081,0.061299275,56219.40188,56219.46318,56219.42232,This work
11565170,16,1545.085704,1545.269609,1545.106138,3.45E+36,FALSE,5780,1,4.438,1,1.315994496,0.183904824,56378.0857,56378.26961,56378.10614,This work
11568152,12,1107.500655,1107.582387,1107.521088,9.86E+33,FALSE,5348,0.917,4.424,10,0.003281204,0.081732293,55940.50065,55940.58239,55940.52109,This work
11569133,1,155.3790004,155.4403033,155.3994347,3.24E+34,FALSE,5967,1.014,4.383,NA,0.0044,0.06130283,54988.379,54988.4403,54988.39943,NA
11599539,6,593.5581514,593.6194517,593.5785848,1.25E+35,FALSE,5895,0.991,4.489,NA,0.0268,0.061300338,55426.55815,55426.61945,55426.57858,NA
