kepler_id,RA,Dec,Teff,logg,Radius,Prot
11033395,293.62442,48.557831,9523,4.205,1.941,
11036440,294.91583,48.52562,7861,3.76,2.972,
11044372,297.83139,48.536861,8235,3.958,2.363,
11044384,297.83517,48.552528,7968,3.896,2.57,
11045341,298.19562,48.593102,9629,4.066,2.37,
11046028,298.46719,48.50264,8319,3.735,3.219,
11046124,298.50232,48.54192,9014,4.192,1.904,
11076401,287.72595,48.623291,9749,3.658,4.112,
11080103,289.70892,48.620529,7652,3.582,3.784,
11081053,290.1944,48.610481,7596,3.737,3.143,
11081490,290.45035,48.653,9423,4.019,2.496,
11084782,292.19638,48.696541,8586,4.016,2.353,
11090405,294.80161,48.60672,7939,3.718,3.199,
11090421,294.80884,48.69379,9711,4.13,2.181,
11091033,295.07193,48.61137,8922,4.043,2.325,
11092638,295.7764,48.60318,7700,3.96,2.28,
11098975,298.13248,48.67733,9842,4.213,1.961,
11099351,298.27737,48.64082,9565,4.088,2.286,
11100331,298.64136,48.63586,7700,4.018,2.111,
11100522,298.71362,48.66856,8233,3.739,3.207,
11100532,298.71762,48.61409,7575,3.917,2.412,
11124982,284.72589,48.789139,7792,4.04,2.048,
11125764,285.29025,48.715981,8209,3.75,3.143,
11127190,286.15765,48.775669,7841,3.719,3.419,
11134456,290.19025,48.77047,9833,3.646,4.172,
11140501,293.36288,48.74411,7573,4.03,2.014,
11143576,294.68216,48.705921,8218,4.072,2.115,
11145123,295.35559,48.754189,8051,3.966,2.347,
11145138,295.36279,48.760021,7852,3.915,2.518,
11146648,295.91467,48.723438,9166,4.022,2.436,
11147994,296.39932,48.76572,7675,4.051,2.015,
11151915,297.81827,48.768051,7925,3.754,3.017,
11152054,297.8812,48.766392,9268,3.802,3.365,
11152422,298.02893,48.724319,9371,4.053,2.368,
11152625,298.10486,48.726711,7606,4.099,1.88,
11153242,298.33688,48.723209,9082,4.073,2.257,
11153259,298.34344,48.702381,7615,3.948,2.318,
11154043,298.64676,48.784649,8912,4.05,2.299,
11175316,282.43317,48.801041,9409,4.127,2.141,
11175495,282.54721,48.85638,8300,3.755,3.093,
11179734,285.63757,48.838551,8230,3.973,2.316,
11180361,286.0192,48.866741,8523,3.559,4.051,
11182608,287.5238,48.833099,7626,4.278,1.524,
11183259,287.94397,48.813957,7532,4.117,1.953,
11183539,288.10745,48.839211,7694,3.631,3.627,
11189284,291.24164,48.841412,8867,3.661,3.828,
11189959,291.61823,48.8708,9490,4.109,2.209,
