kepler_id,ra,dec,Teff,logg,Radius
8621656,290.64337,44.738979,3570,4.853,0.399
8623753,291.4213,44.71426,3368,4.97,0.288
8635854,295.7977,44.709064,2661,5.283,0.116
8638911,296.71466,44.718979,3455,4.919,0.332
8647238,298.82477,44.78706,3673,4.691,0.56
8655334,301.04034,44.733398,3306,5.013,0.245
8655619,301.16437,44.742359,3476,4.934,0.32
8655810,301.25137,44.763168,3694,4.686,0.566
8669203,281.96719,44.846729,3208,5.184,0.155
8672162,283.5856,44.848789,3397,5.071,0.222
8673358,284.2149,44.80452,3373,4.986,0.27
8682045,288.98724,44.800171,3530,4.876,0.376
8683640,289.70917,44.851219,3683,4.82,0.436
8685007,290.22501,44.85574,3534,4.92,0.348
8687186,291.04309,44.811878,3623,4.907,0.355
8709982,298.4772,44.87936,3526,5.172,0.169
8712146,299.04138,44.821411,3492,5.17,0.169
8712608,299.17783,44.885811,3434,4.905,0.344
8716714,300.32285,44.800709,3439,4.939,0.318
8719129,301.04282,44.88966,3540,4.836,0.411
8733898,282.25021,44.921108,3464,4.923,0.328
8735884,283.25919,44.981918,3274,5.093,0.2
8737443,284.07449,44.96088,3435,5.038,0.244
8738977,284.89594,44.906242,3630,4.959,0.305
8739426,285.16937,44.994122,3515,4.851,0.396
8740221,285.63586,44.90789,3453,5.016,0.269
8741649,286.44595,44.91164,3413,4.952,0.3
8742742,287.05191,44.963242,3541,4.919,0.351
8747795,289.57559,44.978809,3352,4.969,0.28
8749769,290.38281,44.986542,3482,4.904,0.349
8766172,296.37582,44.991261,3398,4.967,0.288
8767706,296.85989,44.924046,3116,5.147,0.164
8771391,297.80246,44.94965,3439,4.901,0.347
8772010,297.95868,44.930119,3691,4.945,0.329
8774246,298.52274,44.92873,3391,4.936,0.311
8776565,299.11832,44.916458,3502,4.925,0.334
8776824,299.19672,44.963329,3629,4.869,0.387
8780274,300.14975,44.954342,3562,4.967,0.3
8781683,300.52209,44.93425,3419,4.949,0.303
8803071,284.38477,45.000309,3586,4.865,0.389
8804334,285.06393,45.075413,2661,5.283,0.116
8807085,286.56927,45.045078,3563,4.853,0.398
8807787,286.9534,45.047909,3435,4.933,0.318
8811972,289.06213,45.0368,3677,4.839,0.425
