kepler_id,RA,Dec,Teff,logg,Radius,Prot
2311423,293.30786,37.695061,5730,4.34,1.122,
2311735,293.36743,37.660259,5911,4.519,0.914,
2421529,285.70264,37.789539,5960,4.385,0.942,
2421981,285.84689,37.795818,5814,4.467,0.986,
2422090,285.89404,37.741749,5780,4.438,1,
2422145,285.91324,37.77132,5896,4.518,0.916,
2422257,285.95709,37.711369,5831,4.421,1.084,
2422646,286.07745,37.703579,5510,4.46,0.901,
2423357,286.31583,37.735859,5755,4.299,1.107,
2423400,286.32974,37.765289,5733,4.465,0.949,
2423941,286.50165,37.739449,5861,4.461,0.933,
2424675,286.76141,37.711464,5780,4.438,1,
2424693,286.76807,37.718971,5537,4.416,0.905,
2424828,286.81372,37.735882,5957,4.506,0.937,
2425031,286.88031,37.747581,5774,4.508,0.941,
2425133,286.91269,37.798431,5422,4.351,1.045,
2425159,286.92441,37.760792,5825,4.504,0.965,
2436062,290.09457,37.756969,5537,4.393,0.997,
2436378,290.14175,37.741367,5780,4.438,1,
2436450,290.14877,37.747799,5780,4.438,1,
2436583,290.16101,37.759121,5696,4.519,0.921,
2436791,290.17993,37.752041,5780,4.438,1,
2436901,290.18826,37.776451,5780,4.438,1,
2437038,290.19836,37.742142,5619,4.356,1.038,
2437051,290.19907,37.761814,5780,4.438,1,
2437223,290.21075,37.782684,5780,4.438,1,
2437505,290.23032,37.777481,5780,4.438,1,
2437612,290.23767,37.760971,5377,4.488,0.937,
2437783,290.25198,37.763203,5780,4.438,1,
2438406,290.31512,37.742451,5398,4.375,0.99,
2438513,290.32867,37.72311,5771,4.374,1.068,
2438863,290.38937,37.787521,5834,4.472,1.023,
2439186,290.46402,37.728191,5937,4.344,1,
2439570,290.55167,37.782021,5499,4.51,0.936,
2439707,290.58597,37.77071,5900,4.376,1.094,
2439947,290.64563,37.758961,5796,4.497,0.961,
2441255,290.95963,37.740002,5999,4.494,0.959,
2441384,290.99658,37.798618,5893,4.359,1.091,
2441551,291.03378,37.791962,5955,4.52,0.91,
2441876,291.10974,37.774509,5944,4.385,0.962,
2442192,291.186,37.722858,5585,4.409,0.91,
2442205,291.18939,37.755989,5700,4.395,0.978,
2442893,291.34003,37.750229,5973,4.506,0.935,
2443235,291.42206,37.768513,5780,4.438,1,
2443403,291.45987,37.766579,5800,4.357,1.074,
2443523,291.48581,37.762589,5966,4.493,0.961,
2443559,291.492,37.702202,5966,4.419,1.066,
2444296,291.65848,37.703362,5869,4.436,0.998,
2444558,291.71719,37.792542,5640,4.388,0.974,
2445011,291.8183,37.755531,5780,4.438,1,
2445129,291.84891,37.713501,5927,4.409,1.06,
2445580,291.94897,37.70446,5981,4.512,0.906,
2445760,291.98651,37.773571,5942,4.359,0.986,
2445964,292.02725,37.750992,5826,4.463,0.926,
2445975,292.03091,37.773529,5780,4.438,1,
2445992,292.03345,37.734112,5610,4.277,1.107,
2447049,292.24969,37.760929,5965,4.375,1.077,
2447482,292.33398,37.715401,5973,4.506,0.935,
2447596,292.35535,37.736279,5728,4.483,0.989,
2447762,292.39352,37.766281,5966,4.491,0.959,
2448052,292.45657,37.742729,5940,4.493,0.964,
2448382,292.5354,37.707233,5802,4.285,1.075,
2449053,292.68985,37.774361,5271,4.436,0.935,
2449151,292.71155,37.707661,5945,4.448,1.069,
2449189,292.71896,37.784271,5654,4.414,0.978,
2449293,292.74234,37.714211,5633,4.346,1.121,
2449431,292.77399,37.797691,5579,4.419,0.97,
2449535,292.80176,37.770721,5657,4.441,0.947,
2449647,292.82748,37.753632,5849,4.517,0.919,
2450203,292.95602,37.75198,5872,4.324,1.022,
2450303,292.9744,37.742001,5569,4.33,1.033,
2450897,293.11005,37.741901,5580,4.359,1.055,
2451476,293.2374,37.766071,5902,4.399,1.029,
2451491,293.24005,37.748692,5776,4.512,0.95,
2451573,293.25879,37.778488,5867,4.485,0.981,
2451643,293.27289,37.770401,5584,4.447,0.936,
2451986,293.34659,37.726158,5739,4.311,1.03,
2452074,293.36517,37.700779,5548,4.389,0.944,
2452107,293.37296,37.705021,5881,4.37,1.028,
2452522,293.46411,37.786175,5780,4.438,1,
2452784,293.51752,37.754509,5596,4.48,0.908,
2554185,285.80038,37.80357,5956,4.369,0.971,
2554196,285.80386,37.830528,5979,4.352,1.078,
2554317,285.84857,37.840351,5701,4.389,1.005,
2554433,285.88583,37.88187,5823,4.473,1.02,
2555198,286.13223,37.81007,5870,4.394,0.972,
2555680,286.27802,37.814465,5780,4.438,1,
2555844,286.32788,37.884911,5955,4.52,0.91,
2556158,286.43188,37.81934,5887,4.43,0.996,
2556181,286.44028,37.811161,5745,4.324,1.06,
2556197,286.44443,37.88623,5900,4.49,0.917,
2556722,286.61789,37.825176,5780,4.438,1,
2557105,286.7457,37.845982,5878,4.287,1.113,
2557153,286.75925,37.84687,5349,4.377,0.993,
2557302,286.80652,37.897179,5957,4.335,1.099,
2557496,286.86981,37.822811,5693,4.488,0.952,
2557691,286.92603,37.86047,5628,4.35,1.022,
2557986,287.01569,37.83316,5916,4.477,0.949,
2558246,287.09421,37.827091,5737,4.348,0.983,
2558530,287.18661,37.827202,5911,4.444,0.989,
2558795,287.28586,37.895229,5578,4.44,0.935,
2568537,290.01883,37.859055,5780,4.438,1,
2568573,290.02905,37.899212,5437,4.412,0.925,
2568643,290.04446,37.881557,5780,4.438,1,
2568660,290.04837,37.879608,5783,4.37,1.034,
2569763,290.20691,37.802361,5578,4.325,1.062,
2569969,290.22604,37.874413,5780,4.438,1,
2570049,290.23618,37.8951,5596,4.298,1.087,
2570432,290.28079,37.882172,5504,4.466,0.952,
2570462,290.28363,37.818504,5780,4.438,1,
2571439,290.4693,37.855228,5275,4.446,0.923,
2572787,290.7861,37.854591,5970,4.521,0.908,
2572793,290.78665,37.885719,5900,4.425,0.973,
2572839,290.79684,37.848129,5751,4.508,0.94,
2572952,290.82141,37.888821,5971,4.449,0.942,
2573074,290.85217,37.867939,5821,4.514,0.92,
2573174,290.87662,37.867561,5915,4.371,1.022,
2573349,290.914,37.87212,5725,4.468,0.948,
2574692,291.22174,37.892231,5818,4.523,0.925,
2575479,291.38708,37.890549,5818,4.473,0.984,
2575785,291.45493,37.869129,5951,4.417,1.049,
2576220,291.54526,37.841942,5632,4.363,0.972,
2576697,291.64365,37.891151,5989,4.322,1.131,
2577248,291.76071,37.86544,5904,4.438,0.915,
2577273,291.76559,37.857342,5937,4.343,1.126,
2577513,291.81384,37.89444,5841,4.52,0.931,
2577568,291.8266,37.855728,5800,4.479,1.009,
2577952,291.90295,37.87743,5564,4.436,0.95,
2578036,291.91791,37.850441,5986,4.423,1.028,
2578061,291.9231,37.837021,5988,4.377,1.071,
2578697,292.05429,37.869881,5858,4.358,1.097,
2579061,292.14041,37.847569,5916,4.359,1.1,
2579590,292.25479,37.880196,5614,4.386,0.96,
2579762,292.28897,37.88493,5127,4.439,0.916,
2579776,292.29105,37.821362,5900,4.509,0.951,
2580373,292.41855,37.878502,5780,4.438,1,
2580632,292.47437,37.847542,5960,4.364,1.026,
2580872,292.52859,37.81002,5496,4.471,0.917,
2580976,292.55066,37.87326,5659,4.418,0.978,
2581014,292.55994,37.805931,5869,4.441,0.932,
