kepler_id,ra,dec,Teff,logg,Radius
3117804,291.72931,38.293869,5138,4.536,0.756
3119243,292.048,38.220341,5024,4.613,0.736
3120220,292.26773,38.294338,5113,4.609,0.743
3120238,292.27002,38.20789,4991,4.531,0.777
3120700,292.3804,38.262699,5154,4.577,0.814
3121106,292.48062,38.209839,5075,4.629,0.705
3121753,292.62766,38.259392,5175,4.632,0.7
3122367,292.77008,38.25563,4756,4.61,0.725
3122913,292.90161,38.297081,4703,4.582,0.701
3123292,292.99603,38.204479,4862,4.602,0.722
3123619,293.0687,38.274368,5078,4.526,0.777
3123940,293.13663,38.223358,5019,4.546,0.747
3124279,293.21362,38.214851,5069,4.611,0.737
3124567,293.28476,38.27359,5146,4.603,0.755
3124657,293.30139,38.261318,5173,4.545,0.776
3124825,293.33838,38.208858,4756,4.573,0.718
3127783,293.9917,38.21241,4788,4.618,0.7
3128040,294.04272,38.291012,5145,4.48,0.847
3128576,294.15875,38.257858,5106,4.606,0.752
3129208,294.29828,38.250408,4944,4.566,0.732
3129239,294.30371,38.297791,4977,4.611,0.714
3129710,294.39902,38.24931,4916,4.482,0.86
3215660,285.2149,38.347679,5043,4.502,0.819
3215929,285.32639,38.330971,4916,4.497,0.835
3216554,285.57303,38.39518,4387,4.585,0.706
3217078,285.78049,38.345821,4780,4.539,0.773
3217079,285.78061,38.307171,4930,4.558,0.732
3217583,285.97461,38.357738,5085,4.559,0.724
3219612,286.74973,38.39661,5029,4.585,0.751
3219643,286.76147,38.34351,5141,4.505,0.806
3219941,286.86963,38.32502,4663,4.602,0.712
3220720,287.15353,38.39077,5030,4.433,0.924
3220757,287.16708,38.315849,4999,4.49,0.843
3221373,287.39453,38.389969,5185,4.484,0.837
3221510,287.44855,38.327351,5185,4.601,0.759
3221975,287.60907,38.375431,4983,4.61,0.735
3223447,288.13007,38.35984,4703,4.572,0.718
3223524,288.15811,38.359489,5170,4.61,0.741
3228466,289.67581,38.328789,4937,4.446,0.905
3228508,289.68448,38.336189,4842,4.561,0.732
3228786,289.75696,38.39093,5035,4.519,0.791
3229363,289.89911,38.392578,4971,4.586,0.759
3230300,290.13501,38.389011,5075,4.567,0.712
3230356,290.15125,38.324108,5061,4.513,0.799
3230383,290.15564,38.367069,4825,4.615,0.713
3231250,290.38217,38.388111,5180,4.492,0.824
3231750,290.53738,38.331612,4938,4.56,0.73
3232249,290.6864,38.355598,4832,4.592,0.746
3232272,290.69321,38.365582,5141,4.598,0.763
3232567,290.7825,38.308868,4568,4.575,0.718
3233258,290.96884,38.366428,5061,4.504,0.814
3233304,290.98145,38.32869,5143,4.555,0.793
3233437,291.01959,38.354,5007,4.603,0.751
3233612,291.07318,38.354221,4907,4.497,0.836
3233694,291.09518,38.37635,5145,4.607,0.745
3233733,291.10635,38.380032,4963,4.527,0.781
3233794,291.12241,38.32579,4689,4.569,0.723
3233809,291.1254,38.394482,4938,4.522,0.829
3234193,291.22531,38.354408,4499,4.572,0.731
3234506,291.31796,38.39233,4513,4.574,0.722
3234598,291.34259,38.363129,4513,4.574,0.722
3234909,291.42743,38.32597,5013,4.604,0.741
3235866,291.6496,38.38306,5088,4.517,0.79
3237411,292.03275,38.323929,4478,4.57,0.742
3237992,292.18936,38.32473,5127,4.603,0.75
3238486,292.31372,38.315239,5159,4.509,0.802
3238689,292.35999,38.374512,5017,4.605,0.762
3238718,292.36743,38.334991,5113,4.609,0.743
3239325,292.51028,38.341331,5162,4.541,0.748
3239706,292.59995,38.333012,5073,4.468,0.874
3239857,292.63608,38.36866,5190,4.622,0.703
3240396,292.77402,38.385738,5167,4.603,0.757
3240595,292.82864,38.39378,5006,4.569,0.746
3241630,293.09714,38.32296,4687,4.558,0.747
3241791,293.14026,38.308491,5103,4.5,0.817
3245714,294.06107,38.30291,5106,4.551,0.788
3245969,294.11566,38.393478,4983,4.617,0.728
3246867,294.34146,38.340519,4983,4.617,0.728
3247807,294.54959,38.35857,5046,4.597,0.767
3248038,294.60071,38.32214,4780,4.604,0.75
3248730,294.74814,38.394691,5046,4.522,0.814
3249334,294.87888,38.397812,4950,4.625,0.709
3323002,285.2048,38.455002,4889,4.57,0.715
3323248,285.32184,38.40379,5045,4.542,0.753
3323277,285.33237,38.445202,4742,4.55,0.759
3323358,285.36194,38.430828,5145,4.582,0.718
3324109,285.6557,38.464611,5102,4.553,0.733
3324254,285.72266,38.480679,5123,4.556,0.748
3325000,286.01892,38.477379,4882,4.568,0.718
3325225,286.11359,38.40369,5051,4.608,0.741
3325249,286.12317,38.470242,5031,4.485,0.848
3326377,286.55807,38.405369,5180,4.548,0.8
3328481,287.3609,38.41272,5076,4.598,0.763
3329238,287.62704,38.449604,4906,4.587,0.716
3330082,287.92316,38.41507,4647,4.58,0.715
3330365,288.01865,38.450878,5100,4.572,0.704
3330410,288.03207,38.48933,5110,4.458,0.891
3330461,288.04837,38.44516,5071,4.514,0.796
3330631,288.10394,38.43293,4964,4.615,0.725
3330773,288.14572,38.420818,4864,4.555,0.74
3331052,288.24222,38.445461,4751,4.581,0.726
3331221,288.30258,38.484379,4895,4.481,0.859
3335216,289.53934,38.46019,4897,4.561,0.732
3336226,289.81165,38.456501,4953,4.552,0.744
3336983,290.0123,38.401859,4675,4.586,0.705
3337905,290.25989,38.474529,4761,4.564,0.737
3338694,290.48694,38.499641,5184,4.533,0.758
3338877,290.54523,38.476391,4757,4.527,0.795
3339025,290.59186,38.49316,4914,4.575,0.707
3339351,290.68365,38.44154,5112,4.494,0.86
3339482,290.7211,38.468891,5141,4.526,0.773
3340902,291.12134,38.488392,4926,4.498,0.834
3341270,291.22546,38.438992,4922,4.618,0.708
3342325,291.49261,38.487331,4873,4.483,0.858
3342379,291.50439,38.438381,4913,4.526,0.825
3342759,291.59537,38.46608,5167,4.599,0.764
3343245,291.72229,38.40123,4769,4.557,0.742
3345990,292.38828,38.401981,4968,4.568,0.811
3346479,292.50717,38.471619,5120,4.578,0.776
3347529,292.78949,38.488789,4960,4.487,0.849
3348093,292.92532,38.480991,4478,4.578,0.715
3351787,293.84467,38.419411,5062,4.603,0.746
3351945,293.88446,38.445721,4919,4.566,0.721
3353233,294.19232,38.43951,4747,4.571,0.718
3353379,294.23312,38.469898,5193,4.487,0.836
3353800,294.33344,38.428429,4918,4.613,0.742
3355171,294.64362,38.45293,5061,4.619,0.724
3356111,294.85367,38.476528,5008,4.629,0.701
3356617,294.96811,38.43119,5109,4.624,0.714
3356742,294.99994,38.47937,5125,4.621,0.717
3425376,285.53387,38.540852,4887,4.548,0.762
3425520,285.60052,38.554668,4738,4.55,0.756
3425623,285.6423,38.501732,5180,4.544,0.742
3426678,286.03644,38.5765,5078,4.548,0.741
3427211,286.24988,38.58778,5024,4.527,0.778
3427772,286.45215,38.55476,4805,4.535,0.779
3428255,286.63861,38.578018,4832,4.59,0.706
3428272,286.64536,38.55975,4703,4.572,0.718
3428468,286.72336,38.595661,4412,4.565,0.737
3430216,287.3688,38.532051,5158,4.552,0.731
3430220,287.36969,38.543159,5132,4.587,0.724
3430430,287.4523,38.502831,5166,4.531,0.766
3430973,287.65161,38.525711,4808,4.574,0.712
3431530,287.84265,38.512291,4778,4.53,0.789
3432022,288.00665,38.529381,5172,4.534,0.787
3432084,288.0293,38.577381,4735,4.578,0.713
3432509,288.16379,38.587711,4756,4.603,0.742
3433035,288.33722,38.53088,5071,4.592,0.728
3439965,290.39691,38.52409,4924,4.618,0.715
3440861,290.66681,38.568329,4999,4.514,0.801
3441622,290.89926,38.572182,5128,4.593,0.79
3441770,290.94086,38.55262,5188,4.599,0.769
3441960,290.99112,38.584431,5112,4.532,0.766
3443351,291.36594,38.56255,5108,4.542,0.749
3443467,291.39319,38.54792,4906,4.519,0.8
3444025,291.54303,38.515461,4613,4.583,0.704
3444565,291.68457,38.52412,5117,4.566,0.712
3446150,292.05835,38.517311,4622,4.552,0.756
3448234,292.61465,38.568531,4927,4.567,0.718
3448882,292.77954,38.510544,5046,4.569,0.757
3450026,293.05148,38.547001,5108,4.602,0.753
3453569,293.90228,38.538189,5093,4.561,0.721
3453592,293.90805,38.589569,4812,4.55,0.787
3453662,293.92984,38.579071,5040,4.567,0.737
3453978,294.00192,38.546021,5126,4.568,0.71
3454249,294.07147,38.532688,4947,4.621,0.714
3454265,294.07626,38.509762,4769,4.599,0.707
3454690,294.18118,38.52684,5065,4.602,0.749
